pheno h0 se0 h1 se1 h2 se2 h3 se3 h4 se4 h5 se5 h6 se6 h7 se7 hge0 sege0 hge1 sege1 hge2 sege2 hge3 sege3 hge4 sege4 hge5 sege5 hge6 sege6 hge7 sege7 h2nxe h2nxe.se  h2gxe h2gxe.se h2g h2g.se
phosphate 0.0411662 0.00540066 0.0158 0.00371125 0.00635503 0.00163095 0.00169172 0.000538197 0.00343118 0.00088715 0.0265898 0.00466483 0.062426 0.0086635 0.0182778 0.00273908 -0.0049117 0.0048555 -0.000362765 0.00241978 0.000765733 0.00086603 -0.000252176 0.000263511 0.00179837 0.000644417 0.000881209 0.00119163 -0.00193587 0.00138683 0.000200468 0.000597143 0.0204028 0.00509286 -0.00381673 0.0050793 0.175738 0.0151848
potassium 0.00530709 0.00441769 0.00755266 0.00248299 0.00150722 0.000976742 0.000370264 0.000307445 0.00152006 0.00056363 0.00784217 0.0013248 0.0189017 0.00148248 0.00814353 0.00210754 0.0023833 0.00365926 -0.0029459 0.00205621 0.00162148 0.000865096 -0.000346411 0.000303154 0.000371774 0.000529671 0.00130897 0.000996218 0.00212347 0.00107373 -0.00052286 0.000471156 -0.0180792 0.00345451 0.00399383 0.00345126 0.0511447 0.00523269
shbg 0.0604108 0.0191326 0.0448919 0.00773453 0.02152 0.0120181 -0.000358354 0.000813469 0.00702241 0.00226123 0.0505103 0.0085228 0.109108 0.0313147 0.0460059 0.0129478 0.00298436 0.00480035 0.00320042 0.00258556 -0.000877625 0.00115739 8.72229e-05 0.0002779 -0.000245887 0.000519502 0.00197565 0.00105557 0.000660713 0.00124524 0.00147158 0.00078549 -0.00617499 0.00492667 0.00925643 0.00492591 0.339111 0.0682563
sodium 0.0206161 0.00432168 0.0147785 0.00260671 0.00231711 0.000928971 0.00102454 0.00036285 0.00246865 0.000660447 0.0141075 0.00138091 0.0296181 0.00177574 0.0159056 0.0025268 -0.000985893 0.00385881 -0.00225344 0.00238403 0.000937596 0.000819704 -2.61343e-05 0.000259626 -0.00058991 0.000575323 0.00126195 0.00119383 -4.77161e-06 0.00092442 0.000409205 0.000472726 -0.00603786 0.00377766 -0.0012514 0.00377849 0.100836 0.00454976
testosterone 0.0145624 0.0047353 0.00804726 0.00340104 0.0069059 0.00147258 0.000179746 0.000510795 0.00177684 0.000631088 0.0174955 0.00235863 0.0361352 0.00636024 0.014239 0.00487568 -0.00366086 0.00410782 -0.000887618 0.0026802 0.000761859 0.000937015 0.000425766 0.000310536 1.9963e-05 0.000658815 0.000240882 0.00111661 0.000526736 0.000961402 0.00022815 0.000520655 -0.012607 0.00426236 -0.00234512 0.0042543 0.0993419 0.0114466
triglycerides 0.049392 0.0121614 0.0439533 0.00996057 0.00841372 0.00196664 0.000313637 0.00059418 0.00519731 0.00157232 0.0418073 0.00568877 0.0854476 0.0137501 0.0448232 0.00945857 0.00153859 0.00385483 0.00505885 0.00233065 -0.000487512 0.00100687 0.00032313 0.000310957 0.000123679 0.000576499 0.000939453 0.001176 -3.1031e-05 0.00113413 0.000745047 0.000648758 -0.00758762 0.00410894 0.0082102 0.00409441 0.279348 0.0369248
urate 0.0503909 0.00780795 0.032716 0.00937023 0.0236258 0.0127932 -0.00045558 0.00242482 0.00517996 0.000951422 0.0328657 0.00282354 0.0556103 0.0183989 0.103211 0.0695893 -0.00576602 0.00453227 0.000991414 0.0028671 0.00115442 0.00100868 0.00032965 0.000302046 -0.000413687 0.000705412 0.00307422 0.0013931 0.00125797 0.00130825 0.00116351 0.000750933 0.0443196 0.00449232 0.00179148 0.00453414 0.303144 0.0713614
urea 0.02536 0.00444597 0.0230853 0.00446511 0.00300599 0.00142293 0.00171834 0.000563007 0.00605427 0.00153549 0.0281648 0.00270735 0.0510975 0.00500451 0.0238971 0.0051567 0.00112798 0.00445498 -0.00252031 0.00293402 0.000823286 0.00107688 -0.000795678 0.000283688 5.74739e-05 0.000726075 0.000974662 0.00114591 -0.000626131 0.001218 -0.000209195 0.000522028 0.0425914 0.00460091 -0.00116792 0.00459819 0.162383 0.00922577
vitamin_d 0.0323599 0.0055801 0.0245131 0.00874658 0.00593037 0.00399868 0.000770814 0.000454142 0.00355036 0.00108627 0.0106671 0.00294368 0.047405 0.0143377 0.0177222 0.00523581 0.00677152 0.00386556 -0.0037676 0.00243933 0.00304436 0.00113476 0.000249317 0.000321545 0.000505187 0.000595068 -0.00102796 0.00118946 0.000836166 0.00118924 0.000270123 0.000554461 0.00785593 0.00387878 0.00688111 0.00388616 0.142919 0.0239154
whr 0.0309159 0.00398689 0.0304842 0.0032226 0.00669355 0.0013891 0.00231654 0.000398248 0.0047357 0.00107438 0.0357482 0.00296766 0.0678479 0.00324342 0.0322833 0.00314964 -0.000334773 0.00388517 -0.00154461 0.00228848 -0.00109225 0.000804474 0.000348683 0.000301931 5.67269e-05 0.00062078 0.000564453 0.00104363 0.00079834 0.00100802 0.000948024 0.000565485 0.00518988 0.00386758 -0.000255406 0.0038773 0.211025 0.00765633
